4.000	-23.41
4.050	-22.87
4.100	-22.40
4.150	-22.06
4.200	-21.90
4.250	-21.92
4.300	-22.02
4.350	-22.15
4.400	-22.26
4.450	-22.36
4.500	-22.45
4.550	-22.54
4.600	-22.63
4.650	-22.70
4.700	-22.71
4.750	-22.63
4.800	-22.47
4.850	-22.30
4.900	-22.23
4.950	-22.25
5.000	-22.33
5.050	-22.44
5.100	-22.54
5.150	-22.64
5.200	-22.74
5.250	-22.82
5.300	-22.90
5.350	-22.97
5.400	-23.03
5.450	-23.08
5.500	-23.13
5.550	-23.17
5.600	-23.21
5.650	-23.24
5.700	-23.26
5.750	-23.28
5.800	-23.30
5.850	-23.31
5.900	-23.32
5.950	-23.33
6.000	-23.33
6.050	-23.33
6.100	-23.33
6.150	-23.33
6.200	-23.32
6.250	-23.32
6.300	-23.31
6.350	-23.31
6.400	-23.30
6.450	-23.29
6.500	-23.28
6.550	-23.27
6.600	-23.25
6.650	-23.24
6.700	-23.22
6.750	-23.21
6.800	-23.19
6.850	-23.17
6.900	-23.16
6.950	-23.14
7.000	-23.12
7.050	-23.11
7.100	-23.09
7.150	-23.07
7.200	-23.05
7.250	-23.03
7.300	-23.01
7.350	-22.99
7.400	-22.96
7.450	-22.94
7.500	-22.92
7.550	-22.90
7.600	-22.88
7.650	-22.86
7.700	-22.84
7.750	-22.81
7.800	-22.79
7.850	-22.77
7.900	-22.75
7.950	-22.73
8.000	-22.70
8.050	-22.68
8.100	-22.66
8.150	-22.63
8.200	-22.61
8.250	-22.59
8.300	-22.57
8.350	-22.54
8.400	-22.52
8.450	-22.50
8.500	-22.47
